2026-03-10 12:00 - CPU_TEMP [Min:41.4 Max:45.2] | CPU_USAGE [Min:36.8 Max:44.6] | RAM_USAGE [Min:24.4 Max:27.6] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.4 Max:20.0]
2026-03-10 12:01 - CPU_TEMP [Min:42.5 Max:44.6] | CPU_USAGE [Min:37.3 Max:45.0] | RAM_USAGE [Min:24.3 Max:28.0] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:02 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.8 Max:48.7] | RAM_USAGE [Min:24.3 Max:27.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.5 Max:20.0]
2026-03-10 12:03 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.8 Max:44.1] | RAM_USAGE [Min:24.3 Max:26.9] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.5 Max:20.0]
2026-03-10 12:04 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.7 Max:45.3] | RAM_USAGE [Min:24.4 Max:27.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.4 Max:20.4]
2026-03-10 12:05 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.5 Max:50.6] | RAM_USAGE [Min:24.3 Max:27.6] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:19.1 Max:20.1]
2026-03-10 12:06 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:37.0 Max:45.3] | RAM_USAGE [Min:24.4 Max:27.4] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.0 Max:20.0]
2026-03-10 12:07 - CPU_TEMP [Min:41.4 Max:45.2] | CPU_USAGE [Min:36.7 Max:43.9] | RAM_USAGE [Min:24.3 Max:27.6] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-10 12:08 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.7 Max:48.5] | RAM_USAGE [Min:24.3 Max:27.1] | GPU_USAGE [Min:2.0 Max:3.6] | NPU_USAGE [Min:19.1 Max:20.1]
2026-03-10 12:09 - CPU_TEMP [Min:42.5 Max:44.6] | CPU_USAGE [Min:37.0 Max:43.3] | RAM_USAGE [Min:24.3 Max:27.3] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.3 Max:20.3]
2026-03-10 12:10 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.6 Max:43.5] | RAM_USAGE [Min:24.2 Max:27.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.6 Max:20.0]
2026-03-10 12:11 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.8 Max:48.2] | RAM_USAGE [Min:24.3 Max:29.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.8 Max:20.1]
2026-03-10 12:12 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:37.5 Max:45.1] | RAM_USAGE [Min:24.3 Max:27.1] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:19.1 Max:20.2]
2026-03-10 12:13 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.8 Max:45.4] | RAM_USAGE [Min:24.4 Max:27.7] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:19.0 Max:20.3]
2026-03-10 12:14 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:36.0 Max:48.7] | RAM_USAGE [Min:24.4 Max:26.8] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.3 Max:20.1]
2026-03-10 12:15 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.2 Max:43.0] | RAM_USAGE [Min:24.2 Max:27.8] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:18.4 Max:20.0]
2026-03-10 12:16 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:37.0 Max:46.2] | RAM_USAGE [Min:24.4 Max:27.2] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:17 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.8 Max:49.5] | RAM_USAGE [Min:24.2 Max:28.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.7 Max:20.2]
2026-03-10 12:18 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:36.7 Max:45.8] | RAM_USAGE [Min:24.4 Max:27.4] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:19 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:36.8 Max:45.4] | RAM_USAGE [Min:24.3 Max:26.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:20 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.4 Max:48.5] | RAM_USAGE [Min:24.3 Max:27.1] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:19.1 Max:20.8]
2026-03-10 12:21 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:35.7 Max:43.2] | RAM_USAGE [Min:24.3 Max:27.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.0 Max:20.0]
2026-03-10 12:22 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:36.8 Max:46.2] | RAM_USAGE [Min:24.4 Max:27.9] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.5 Max:20.2]
2026-03-10 12:23 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.5 Max:45.0] | RAM_USAGE [Min:24.3 Max:28.0] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.8 Max:20.3]
2026-03-10 12:24 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:36.8 Max:44.1] | RAM_USAGE [Min:24.3 Max:26.9] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.7 Max:20.0]
2026-03-10 12:25 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:37.3 Max:47.8] | RAM_USAGE [Min:24.4 Max:27.2] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.5 Max:20.0]
2026-03-10 12:26 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.5 Max:46.1] | RAM_USAGE [Min:24.5 Max:27.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.1]
2026-03-10 12:27 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:36.7 Max:50.1] | RAM_USAGE [Min:24.3 Max:28.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:28 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:36.8 Max:47.7] | RAM_USAGE [Min:24.3 Max:27.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.5 Max:20.1]
2026-03-10 12:29 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:36.5 Max:45.4] | RAM_USAGE [Min:24.4 Max:27.3] | GPU_USAGE [Min:2.0 Max:3.8] | NPU_USAGE [Min:18.6 Max:20.2]
2026-03-10 12:30 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:36.2 Max:48.1] | RAM_USAGE [Min:24.3 Max:26.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.5 Max:20.0]
2026-03-10 12:31 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:37.5 Max:49.5] | RAM_USAGE [Min:24.3 Max:27.6] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:32 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:37.2 Max:46.2] | RAM_USAGE [Min:24.3 Max:27.4] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.5]
2026-03-10 12:33 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:37.4 Max:44.5] | RAM_USAGE [Min:24.5 Max:28.6] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:34 - CPU_TEMP [Min:43.0 Max:46.9] | CPU_USAGE [Min:36.2 Max:49.4] | RAM_USAGE [Min:24.5 Max:28.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.5 Max:20.1]
2026-03-10 12:35 - CPU_TEMP [Min:42.5 Max:45.8] | CPU_USAGE [Min:36.5 Max:46.4] | RAM_USAGE [Min:24.4 Max:26.9] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.7 Max:20.0]
2026-03-10 12:36 - CPU_TEMP [Min:42.5 Max:45.8] | CPU_USAGE [Min:36.2 Max:43.4] | RAM_USAGE [Min:24.5 Max:27.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.8]
2026-03-10 12:37 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:36.5 Max:44.0] | RAM_USAGE [Min:24.4 Max:28.7] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:38 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.7 Max:47.3] | RAM_USAGE [Min:24.1 Max:27.6] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.2]
